StageName,Lookup
Prospecting,Open
Qualification,Open
Needs Analysis,Open
Value Proposition,Open
Id. Decision Makers,Open
Perception Analysis,Open
Proposal/Price Quote,Open
Negotiation/Review,Open
Closed Won,Won
Closed Lost,Lost
